fare_id,price,currency_type,payment_method,transfers,agency_id
88-83,26.55,CAD,1,,GO
83-88,26.55,CAD,1,,GO
86-83,24.30,CAD,1,,GO
83-86,24.30,CAD,1,,GO
85-83,17.30,CAD,1,,GO
83-85,17.30,CAD,1,,GO
84-83,6.30,CAD,1,,GO
83-84,6.30,CAD,1,,GO
83-83,4.40,CAD,1,,GO
98-82,20.90,CAD,1,,GO
82-98,20.90,CAD,1,,GO
97-82,24.75,CAD,1,,GO
82-97,24.75,CAD,1,,GO
96-82,23.90,CAD,1,,GO
82-96,23.90,CAD,1,,GO
95-82,23.35,CAD,1,,GO
82-95,23.35,CAD,1,,GO
94-82,22.70,CAD,1,,GO
82-94,22.70,CAD,1,,GO
93-82,22.05,CAD,1,,GO
82-93,22.05,CAD,1,,GO
92-82,21.20,CAD,1,,GO
82-92,21.20,CAD,1,,GO
91-82,20.45,CAD,1,,GO
82-91,20.45,CAD,1,,GO
90-82,21.05,CAD,1,,GO
82-90,21.05,CAD,1,,GO
89-82,21.05,CAD,1,,GO
82-89,21.05,CAD,1,,GO
88-82,24.15,CAD,1,,GO
82-88,24.15,CAD,1,,GO
86-82,21.85,CAD,1,,GO
82-86,21.85,CAD,1,,GO
85-82,14.40,CAD,1,,GO
82-85,14.40,CAD,1,,GO
84-82,9.70,CAD,1,,GO
82-84,9.70,CAD,1,,GO
83-82,7.15,CAD,1,,GO
82-83,7.15,CAD,1,,GO
82-82,4.40,CAD,1,,GO
98-81,20.20,CAD,1,,GO
81-98,20.20,CAD,1,,GO
97-81,24.00,CAD,1,,GO
81-97,24.00,CAD,1,,GO
96-81,23.05,CAD,1,,GO
81-96,23.05,CAD,1,,GO
95-81,22.55,CAD,1,,GO
81-95,22.55,CAD,1,,GO
94-81,22.05,CAD,1,,GO
81-94,22.05,CAD,1,,GO
93-81,21.25,CAD,1,,GO
81-93,21.25,CAD,1,,GO
92-81,20.40,CAD,1,,GO
81-92,20.40,CAD,1,,GO
91-81,19.75,CAD,1,,GO
81-91,19.75,CAD,1,,GO
90-81,20.30,CAD,1,,GO
81-90,20.30,CAD,1,,GO
89-81,20.30,CAD,1,,GO
81-89,20.30,CAD,1,,GO
88-81,23.35,CAD,1,,GO
81-88,23.35,CAD,1,,GO
86-81,21.05,CAD,1,,GO
81-86,21.05,CAD,1,,GO
85-81,13.60,CAD,1,,GO
81-85,13.60,CAD,1,,GO
84-81,11.20,CAD,1,,GO
81-84,11.20,CAD,1,,GO
83-81,8.15,CAD,1,,GO
81-83,8.15,CAD,1,,GO
82-81,4.40,CAD,1,,GO
81-82,4.40,CAD,1,,GO
81-81,4.40,CAD,1,,GO
98-80,18.80,CAD,1,,GO
80-98,18.80,CAD,1,,GO
97-80,22.75,CAD,1,,GO
80-97,22.75,CAD,1,,GO
96-80,21.75,CAD,1,,GO
80-96,21.75,CAD,1,,GO
95-80,21.20,CAD,1,,GO
80-95,21.20,CAD,1,,GO
94-80,20.60,CAD,1,,GO
80-94,20.60,CAD,1,,GO
93-80,19.85,CAD,1,,GO
80-93,19.85,CAD,1,,GO
92-80,19.00,CAD,1,,GO
80-92,19.00,CAD,1,,GO
91-80,18.35,CAD,1,,GO
80-91,18.35,CAD,1,,GO
90-80,18.20,CAD,1,,GO
80-90,18.20,CAD,1,,GO
89-80,18.15,CAD,1,,GO
80-89,18.15,CAD,1,,GO
88-80,21.25,CAD,1,,GO
80-88,21.25,CAD,1,,GO
86-80,18.95,CAD,1,,GO
80-86,18.95,CAD,1,,GO
85-80,10.80,CAD,1,,GO
80-85,10.80,CAD,1,,GO
84-80,13.35,CAD,1,,GO
80-84,13.35,CAD,1,,GO
83-80,11.20,CAD,1,,GO
80-83,11.20,CAD,1,,GO
82-80,7.70,CAD,1,,GO
80-82,7.70,CAD,1,,GO
81-80,6.30,CAD,1,,GO
80-81,6.30,CAD,1,,GO
80-80,4.40,CAD,1,,GO
98-79,11.90,CAD,1,,GO
79-98,11.90,CAD,1,,GO
97-79,15.85,CAD,1,,GO
79-97,15.85,CAD,1,,GO
96-79,15.05,CAD,1,,GO
79-96,15.05,CAD,1,,GO
95-79,14.50,CAD,1,,GO
