stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.4706,0,2881,-79.7064,,,,,Upper Middle Rd East + Martindale Ave (First Stop),0,621,
43.484997,0,3401,-79.673445,,,,,1425 North Service Rd East,0,133,
43.52441,0,3282,-79.684062,,,,,Winston Churchill Blvd south of Laird Rd,0,132,
43.5133,0,3197,-79.671,,,,,Bristol Circle + 2120 Bristol Circle,0,130,
43.472346,0,3153,-79.69833,,,,,Trafalgar Rd + White Oaks Blvd,0,137,
43.4427,0,2706,-79.7001,,,,,Wyecroft Rd + Weller Ct,0,136,
43.432215,0,2666,-79.686955,,,,,Rebecca St + Southview Rd (YMCA),0,134,
43.478326,0,2872,-79.703834,,,,,Golden Briar Trail + Briarhall Gate,0,494,
43.4691,0,2938,-79.6807,,,,,Iroquois Shore Rd + 8th Line,0,495,
43.4128,0,2349,-79.7092,,,,,Third Line + Tansley Dr,0,139,
43.476841,0,3156,-79.705005,,,,,Trafalgar Rd + River Oaks Blvd,0,138,
43.471789,0,2907,-79.714937,,,,,River Oaks Blvd + Pelee Blvd,0,491,
43.432347,0,3307,-79.77445,,,,,Bronte Rd + Highvalley Rd,0,492,
43.442,0,3386,-79.7057,,,,,403 North Service Rd West,0,626,
43.4726,0,2292,-79.6841,,,,,8th Line north of Falgarwood Dr,0,24,
43.493354,0,3042,-79.695968,,,,,North Ridge Trail + Grace Dr,0,25,
43.440084,0,2743,-79.711151,,,,,Nottinghill Gate north of North Service Rd West,0,27,
43.443828,0,2705,-79.699012,,,,,Wyecroft Rd west of South Service Rd West,0,20,
43.4364,0,3130,-79.7416,,,,,Third Line south of Upper Middle Rd West,0,625,
43.431241,0,2286,-79.698839,,,,,Wildwood Dr + 4th Line,0,22,
43.464996,0,2511,-79.709236,,,,,Sixth Line + Elm Rd.,0,23,
43.439862,0,2426,-79.746756,,,,,Third Line + Westmount Dr.,0,406,
43.4436,0,2550,-79.6813,,,,,Kerr St + Florence Dr,0,159,
43.438869,0,2209,-79.709743,,,,,North Service Rd West + 4th Line,0,404,
43.478788,0,3039,-79.729413,,,,,Dundas St West + 6th Line,0,402,
43.5111,0,2283,-79.6703,,,,,Bristol Circle + London Lane,0,401,
43.4466,0,3344,-79.6865,,,,,Kerr St + Speers Rd,0,400,
43.396023,0,2339,-79.709835,,,,,Lakeshore Rd West + Jones St,0,933,
43.4582,0,2950,-79.7001,,,,,Sixth Line + Sewell Dr,0,930,
43.4483,0,2556,-79.6826,,,,,Queen Mary Dr + Kingswood Rd,0,937,
