direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,A - Trulls via Colonel Sam,947__401067_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,A - Trulls via Colonel Sam,948__401063_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Trulls via Colonel Sam,949__401038_Timetable_-_2026-06,0
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401028_Timetable_-_2026-06,Delpark Homes Centre,94__401028_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,A - Trulls via Colonel Sam,950__401067_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,A - Trulls via Colonel Sam,951__401063_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Trulls via Colonel Sam,952__401015_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Trulls via Colonel Sam,953__401038_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401067_Timetable_-_2026-06,A - Trulls via Colonel Sam,954__401067_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401063_Timetable_-_2026-06,A - Trulls via Colonel Sam,955__401063_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,A - Trulls via Colonel Sam,956__401015_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Trulls via Colonel Sam,957__401038_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,A - Trulls via Colonel Sam,958__403001_Timetable_-_2026-06,0
Eastbound,100.0.2308895438_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,C - Trulls via Colonel Sam and Avondale,959__401015_Timetable_-_2026-06,0
Southbound,100.0.1046829422_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_401014_Timetable_-_2026-06,Oshawa Centre Terminal,95__401014_Timetable_-_2026-06,1
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401038_Timetable_-_2026-06,A - Trulls via Colonel Sam,960__401038_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403004_Timetable_-_2026-06,A - Trulls via Colonel Sam,961__403004_Timetable_-_2026-06,0
Eastbound,100.0.2081289613_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,A - Trulls via Colonel Sam,962__403001_Timetable_-_2026-06,0
Eastbound,100.0.1989076762_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_403001_Timetable_-_2026-06,Trulls,963__403001_Timetable_-_2026-06,0
Eastbound,100.0.1989076762_Timetable_-_2026-06,421,1,Weekday_merged_94434,a_401015_Timetable_-_2026-06,Trulls,964__401015_Timetable_-_2026-06,0
