stop_lon,stop_timezone,stop_name,stop_id,parent_station,wheelchair_boarding,zone_id,stop_code,location_type,stop_url,preferred,stop_lat,stop_desc
-79.06519369171588,,Montgomery Park Eastbound @ OPG Pickering,1706,,1,,1706,0,,2,43.8143165023665,
-79.06028999999998,,Montgomery Park Eastbound @ Brock Road,1707,,1,,1707,0,,2,43.815436,
-78.94210099999998,,Brock Street Northbound @ Dundas,171,,1,,171,0,,1,43.879703,
-79.054705,,Clements Westbound @ Squires Beach,1713,,1,,1713,0,,2,43.827022,
-79.05666669999998,,Westbound @ 1850 Clements,1714,,1,,1714,0,,2,43.8266135,
-79.060627,,Westbound @ 1768 Clements,1715,,1,,1715,0,,2,43.825697,
-79.063235,,Clements Westbound @ Brock Road,1716,,1,,1716,0,,1,43.825146,
-78.943093,,Brock Street Northbound @ John,172,,1,,172,0,,2,43.882531,
-79.07411399999998,,Brock Road Northbound @ Kingston,1724,,1,,1724,0,,2,43.848587,
-79.08913099999998,,Liverpool Northbound @ Pickering Parkway,1729,,1,,1729,0,,2,43.833073,
-78.943797,,Brock Street Northbound @ Walnut,173,,1,,173,0,,2,43.884079,
-79.090151,,Liverpool Northbound @ Kingston,1730,,1,,1730,0,,1,43.835391,
-79.09107,,Northbound @ 1851 Liverpool,1731,,1,,1731,0,,1,43.837643,
-79.091944,,Liverpool Northbound @ Glenanna,1732,,1,,1732,0,,2,43.83937800000001,
-79.092623,,Northbound @ 1917 Liverpool,1733,,1,,1733,0,,2,43.840787,
-79.093507,,Liverpool Northbound @ Anton Square,1734,,1,,1734,0,,2,43.842877,
-78.944286,,Brock Street Northbound @ Chestnut,174,,1,,174,0,,2,43.88521,
-79.089382,,Liverpool Southbound @ Pickering Parkway,1741,,1,,1741,0,,2,43.832976,
-79.115943,,Kingston Westbound @ Whites,1742,,1,,1742,0,,2,43.818764,
-79.116675,,Whites Northbound @ Sheppard,1743,,1,,1743,0,,2,43.821974,
-79.11869299999998,,Whites Northbound @ Briar Wood,1745,,1,,1745,0,,2,43.826169,
-79.120021,,Whites Northbound @ Strouds,1746,,1,,1746,0,,1,43.82930600000001,
-79.121756,,Whites Northbound @ New,1747,,1,,1747,0,,2,43.833399,
-79.12405,,Whites Northbound @ Finch,1749,,1,,1749,0,,2,43.838667,
-78.94474599999998,,Brock Street Northbound @ Maple,175,,1,,175,0,,2,43.886266,
-79.126966,,Whites Southbound @ Sunbird Trail,1751,,1,,1751,0,,2,43.84406700000001,
-79.124218,,Whites Southbound @ Finch,1753,,1,,1753,0,,2,43.83854,
-79.122213,,Whites Southbound @ Highview,1755,,1,,1755,0,,2,43.83396548000001,
